finding_id,plane_seq,epic,plane_id
P01-1,58,E9,c23549f7-329b-4b2f-a2d7-b3910cc77e1f
P01-10,67,E9,80e19cf8-bd6d-4874-ab2b-04492ad68f36
P01-11,68,E14,f7116db7-0215-40af-8008-5bbbc42a2d4c
P01-12,69,E9,c57b1905-a68d-4c56-ba76-33c41bc3be7e
P01-13,70,E3,cd101584-a88a-435b-a096-d57263734d15
P01-14,71,E1,ce860e64-3d1d-407c-a469-e62f57a43c13
P01-15,72,E6,a9e86db6-2ac4-4305-9c9d-0ccc17b7441f
P01-16,73,E2,43cfc919-f71b-4c8b-bbee-b078b6c1ce98
P01-17,74,E9,6671489f-f84d-4fbf-b144-e25ece94d01d
P01-18,75,E5,9fb68bc6-7b95-4223-83d5-1f9305981bcc
P01-19,76,E3,4a136580-8302-40ac-90b1-a4b8dd1e8e6f
P01-2,59,E9,76a8e7ff-57a9-40bd-b026-094c329b7fd7
P01-20,77,E14,1010f8f0-8125-429a-ab5d-8b8789ca4af0
P01-3,60,E5,ba8a3e1d-882a-45ee-8421-4a3400c10b62
P01-4,61,E9,3d097544-a693-4769-a29d-b9bc23e55894
P01-5,62,E6,01672236-eaba-44a5-99a8-677cc433b7d5
P01-6,63,E1,657d0490-4b30-40d4-91f7-9ec1d8e06a14
P01-7,64,E1,e56c4b5c-4e90-4581-9836-47463fedd24e
P01-8,65,E5,19e74339-d279-4380-af12-2ea82c090d9d
P01-9,66,E9,1cce7eec-db29-4713-b4e4-7faf82c4c6a0
P02-1,78,E2,f11f7d2d-9490-4eb3-a4f3-f8c9a0c45ed0
P02-10,87,E14,9db42a10-672c-4b03-9609-53d5238d78d9
P02-11,88,E2,67835014-3abe-49e5-aed0-4b6a47898f0e
P02-12,89,E14,cfc7e357-089f-4a8a-b8a8-cd75ad387001
P02-13,90,E14,1cf5e839-34ce-4ce9-927c-a15f580b8f1e
P02-14,91,E1,8a5f89ab-87fc-430b-a555-eb7756477868
P02-15,92,E3,d9b14e63-6790-49a2-ad27-a41d9aa9311e
P02-16,93,E2,f08abf68-93a2-4daf-962b-d70622cde6c3
P02-17,94,E14,b4c6d10e-fa1b-4905-869e-5a6c02c4cc7a
P02-18,95,E14,fab31fcf-e28b-4cee-b374-d06ffd368371
P02-2,79,E2,d4a7797d-d510-4ba5-98e4-e47849cf6b02
P02-3,80,E3,538254a6-4bbc-4533-a49e-8a649db9ce24
P02-4,81,E2,10f04047-3772-4f41-9f2d-260f85cd3de7
P02-5,82,E2,665f421a-43ba-4d54-b4f4-081dded51927
P02-6,83,E1,286f4252-9ae5-4b7f-bbb2-0a33921964ce
P02-7,84,E1,66733388-5f74-4050-a4b3-a6644d4ba379
P02-8,85,E1,7a55896f-5195-4e1b-9f49-948e39305eb9
P02-9,86,E2,b76d5e11-5128-453c-a9b1-fe0f44f21c0d
P03-1,96,E6,27056916-36d4-4811-bd09-7024133c7332
P03-10,400,E7,77185520-c542-4d92-af9a-2b38d9295960
P03-11,401,E7,855741ef-1665-4772-97e9-6dc076dc5d11
P03-12,402,E1,5d933280-6a85-4d26-9b01-6cd990d531c3
P03-13,403,E7,237d805d-0d2b-48f1-9e3e-5f1e894506fd
P03-14,101,E7,38c7717e-a3d9-4c60-b499-c5914d84e2fc
P03-15,102,E10,36fd1b27-fbb2-421d-a3f6-535bc8783aa8
P03-16,103,E7,88154f4e-d695-4aff-a9e1-98fbbc2f38f8
P03-17,104,E7,111b7544-e6f1-4f6c-86e6-18d99768d283
P03-18,105,E11,dd820bf2-5681-4b5c-9f7c-0cb36f4d6763
P03-19,106,E10,730dddd9-5fd3-42fa-ac06-a01ec9fa6683
P03-2,97,E7,8cdf8391-63d4-4aaf-83e6-ad9e0871a84a
P03-20,107,E7,9ffa991e-ac09-438a-869c-7cf5b8c7a85c
P03-3,98,E7,d296b2e5-9446-4542-a471-d7f2fbbf8bbb
P03-4,99,E10,b21de0db-4f0c-46fc-b705-6107661dc8f5
P03-5,100,E7,4c6157dc-2f36-46e4-a637-a2e25dca8409
P03-6,404,E14,e268f681-b8b1-4ce0-9b65-0a133a6ddbf9
P03-7,405,E13,c412d3d3-873e-42b0-bdd2-6ac1d060c729
P03-8,406,E2,85deae27-e56c-4f25-a52a-81efbc7f9c11
P03-9,407,E14,561d4ef9-a11e-4743-9c69-455ecff39f36
P04-1,108,E6,622c961f-abf6-4940-8942-4f06816d9c45
P04-10,117,E10,6270ccdf-ec7a-4a8d-b992-d19a1e9e4b73
P04-11,118,E14,85f8b24c-27f5-4339-8c3c-c425e5c07ec5
P04-12,119,E1,9e45e995-6ac8-40d7-9355-a1973b0da69f
P04-13,120,E7,fadb9592-9784-42e5-9544-290e285c7038
P04-14,121,E13,c5559cba-5de5-4561-b26e-006e8c955a24
P04-15,122,E14,f130fa42-a5c7-4a81-ad73-932d94300a16
P04-16,123,E6,4afa23f0-1ac2-4e5a-90d5-4950bb07cf21
P04-17,124,E4,27d5bf46-4591-4e44-b61a-33f963ba8adb
P04-18,125,E1,f12858be-5e4f-4c81-a093-6d3b66834b4b
P04-19,126,E13,475627b2-0f95-4c5b-b8ad-ce9c15bb9455
P04-2,109,E3,6fc89b8b-7086-40b6-8944-f1bd99be9b44
P04-20,127,E6,f34f4d77-680f-4a19-a273-88b0d62f249c
P04-3,110,E13,5755c8b8-ef20-4fcb-8d02-336208fd8cb9
P04-4,111,E13,4cd8319f-d020-44a2-9068-2efb6b22008e
P04-5,112,E7,a9e53060-bd0f-472a-a095-ddeedae02eef
P04-6,113,E11,75e99439-a60d-4c3b-8314-336c4f3fffd4
P04-7,114,E7,598c9f3c-17aa-4be2-9454-224fa26d931c
P04-8,115,E7,c12587f7-6950-41a1-9d17-4cbd591aecfb
P04-9,116,E7,68d3f439-0c4e-44bb-bed3-b8833a3d4e8b
P05-1,128,E6,4be234f2-5c15-453a-8189-98520f04583f
P05-10,137,E8,1893b597-e34d-497b-bc89-7e982c9365e5
P05-11,138,E6,5c4e2603-e815-4e7f-9143-4fe00cee0b15
P05-12,408,E8,d7aab044-2a4a-416c-98ca-3cce4f4f5896
P05-13,409,E8,5282e931-cafe-4c00-9fb4-9ec2e0a708a5
P05-14,410,E6,7fd26f9a-b173-491e-9308-6e8bc44adb37
P05-15,411,E6,31cbb036-6f0e-4045-a6d1-85b741a75697
P05-16,412,E15,9dc416dc-8d35-4778-8755-4a566c241055
P05-17,413,E8,8ce555f1-2b73-440a-85ab-acb4237e5403
P05-18,139,E7,29279c89-a70c-4fbb-b36f-980f9784ea05
P05-2,129,E6,763adb4a-3a78-4974-8d7d-2c2a6f160e90
P05-3,130,E12,8840b9da-1ee1-48b0-96ab-e1d170e974ce
P05-4,131,E10,08a2c23e-120b-433f-88f5-621db2c1729c
P05-5,132,E6,2e617712-fbf1-414a-9a88-9cd34ba9e5b4
P05-6,133,E8,25834b3e-f812-4c31-b4c3-8655f65159a7
P05-7,134,E8,d7937dc9-a4b2-4454-b18b-5cad5ee19b3b
P05-8,135,E6,0a7bbaca-9c4f-4b25-9a08-660eef1579f7
P05-9,136,E6,9c1886ad-0d9c-42d1-8849-cff047152a95
P06-1,140,E5,f7639658-c74c-4452-8609-5caf9a429017
P06-10,149,E10,6d13c163-f4b5-46bc-b0e0-7a2cc8065b74
P06-11,150,E8,2a15b12c-a6e7-40f5-8524-e4e172f2d191
P06-12,151,E10,56d547b9-d850-42ce-b45a-96ba3c4d72b8
P06-13,152,E4,af318692-ab46-4673-97f5-9e5ad65d202a
P06-14,153,E1,07f85a74-e726-4c57-be98-85807140e7d0
P06-15,154,E5,6e2c761c-c629-4ee7-ab87-9ef63fa2414e
